"Timestamp","   What is your age group?  ","  How do you usually send documents to a print shop?  ","Do you ask the shopkeeper to delete your files after printing? ","How concerned are you about the privacy and security of your documents when printing at a local print shop?","   Do you believe your files are actually deleted after printing?  ","Do you feel the need for a better and more secure alternative to current printing methods? ","  “Do you have any suggestions or concerns about it ?  "
"2026/04/13 7:07:06 pm GMT+5:30","18–25","WhatsApp;Email","Never","1","Not sure","1","Yea "
"2026/04/13 7:13:56 pm GMT+5:30","18–25","Email","Sometimes","5","Not sure","4","Ńa"
"2026/04/13 7:15:52 pm GMT+5:30","18–25","WhatsApp","Never","2","Not sure","3","No"
"2026/04/13 7:16:06 pm GMT+5:30","18–25","WhatsApp","Never","1","Not sure","3","Not really,  because i never had this type of questions "
"2026/04/13 7:19:59 pm GMT+5:30","18–25","WhatsApp;Email","Never","3","Not sure","4","Make an app to upload my documents there,and the printer shop should have no access to download it !"
"2026/04/13 7:37:37 pm GMT+5:30","18–25","WhatsApp","Never","3","Not sure","3",""
"2026/04/13 7:39:22 pm GMT+5:30","18–25","WhatsApp","Never","3","No","5",""
"2026/04/13 7:51:36 pm GMT+5:30","18–25","WhatsApp","Never","2","Not sure","3",""
"2026/04/13 7:53:54 pm GMT+5:30","18–25","WhatsApp","Never","5","Yes","5","Nope"
"2026/04/13 7:58:23 pm GMT+5:30","18–25","WhatsApp;Email","Never","1","Not sure","1","It’s alright, I don’t really have a problem with my documents being deleted or not, if it’s something confidential or personal, I make sure their disappearing messages are turned on "
"2026/04/13 7:58:55 pm GMT+5:30","40+","WhatsApp","Never","5","Not sure","5","In a shop only normal documents shall be printed. Any important or confidential documents to be printed either at home or at very secure place of known place"
"2026/04/13 7:59:33 pm GMT+5:30","40+","WhatsApp;USB/Pendrive","Always","4","Not sure","5","PIi docs like adhar  pan etc I share via pen drive & ask them not to make local copy or delete if they nake a copy..
Other docs like kids school project I dont care"
"2026/04/13 8:00:39 pm GMT+5:30","18–25","WhatsApp","Sometimes","2","Not sure","2",""
"2026/04/13 8:03:35 pm GMT+5:30","26–40","WhatsApp;Email","Always","5","Not sure","5",""
"2026/04/13 8:04:26 pm GMT+5:30","18–25","WhatsApp","Never","1","Not sure","5",""
"2026/04/13 9:12:17 pm GMT+5:30","18–25","WhatsApp","Never","3","No","5","I want that printing a personal files and other than that should be deleted from shopkeeper...0.its give more security...

" 
"2026/04/13 9:16:40 pm GMT+5:30","40+","WhatsApp;Email;USB/Pendrive;Other","Never","5","Not sure","5","Laddddleeeeeeeee meowwwwwwwwwwwwwwwwww onion uttapammmmm pura nahi khaya gyaaaa"
"2026/04/13 9:29:31 pm GMT+5:30","18–25","WhatsApp","Sometimes","4","Not sure","3",""
"2026/04/13 9:33:24 pm GMT+5:30","18–25","WhatsApp","Never","1","Yes","5",""
"2026/04/13 11:59:26 pm GMT+5:30","18–25","WhatsApp","Sometimes","5","Not sure","4",""
"2026/04/14 8:04:11 am GMT+5:30","40+","WhatsApp","Always","5","Not sure","5","I try to use pendrive but some times due to urgency I have to share files on WhatsApp and I really concerned about my files to be deleted even from the recyclebin."
"2026/04/14 3:32:29 pm GMT+5:30","18–25","WhatsApp;Email","Sometimes","3","No","3",""
"2026/04/14 3:42:25 pm GMT+5:30","18–25","WhatsApp","Never","2","Not sure","3",""
"2026/04/14 5:51:38 pm GMT+5:30","18–25","WhatsApp;Email","Never","3","Yes","3","No"
"2026/04/14 9:53:06 pm GMT+5:30","18–25","WhatsApp","Never","5","No","5",""
"2026/04/15 7:59:53 am GMT+5:30","18–25","WhatsApp","Never","1","No","1",""
"2026/04/16 12:51:56 am GMT+5:30","18–25","WhatsApp","Sometimes","2","No","2",""
"2026/04/18 7:18:58 pm GMT+5:30","26–40","WhatsApp;Email","Sometimes","5","No","5",""
"2026/04/18 9:50:47 pm GMT+5:30","26–40","WhatsApp","Sometimes","3","Not sure","5",""
"2026/04/18 11:04:28 pm GMT+5:30","18–25","WhatsApp","Never","3","Not sure","4","Temporary file sharing system "
"2026/04/19 12:07:53 am GMT+5:30","18–25","WhatsApp","Sometimes","5","Not sure","5",""
